"Proposed page title","URL","Primary target keyword","Secondary keyword themes","Search intent","Funnel stage","Parent topic/pillar","Pages it should link to","Pages that should link to it","Primary IRN service/conversion goal","Priority","Current status","Cannibalisation risk","Notes","Phase","Page type","Cluster","Publication status","Last updated","Internal links completed","Schema completed","Search Console impressions","Search Console clicks","Average position","CTR","Notes/actions","Live title","Live meta description","Live canonical","Live robots","Live H1","Live schema types","Hero image status","Supporting image status","Image brief status","ALT text status","OG image status"
"How Insight Recovery Network supports recovery decisions.","/about-insight-recovery-network","about insight recovery network","trust; credentials; governance","Navigational","Trust","Trust","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Resource hub or parent hub plus at least two contextual cluster pages","Trust and assisted conversion","P3","Existing","Low","No incoming link found in production raw HTML crawl; current remote source needs a complete prerendered resource directory or explicit contextual link. No BreadcrumbList found in live raw HTML.","Existing inventory","About / E-E-A-T","Trust","Live","","No - raw HTML orphan","Partial - breadcrumb missing live","","","","","No incoming link found in production raw HTML crawl; current remote source needs a complete prerendered resource directory or explicit contextual link. No BreadcrumbList found in live raw HTML.","About Insight Recovery Network | Addiction Support Model","Learn how IRN provides assessment-led treatment placement, online recovery and family guidance, including its scope, provider relationships and clinical boundaries.","https://www.insightrecoverynetwork.com/about-insight-recovery-network","index, follow","How Insight Recovery Network supports recovery decisions.","ProfessionalService, PostalAddress, ContactPoint, WebSite, Country, Person","","","","",""
"Structured online addiction recovery support, built around your life.","/online-addiction-recovery-programme-uk","online addiction recovery programme UK","online rehab; online addiction support; residential alternative","Commercial investigation","Consideration","Online recovery","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Current navigation/cluster links; add reciprocal links as new cluster pages publish","Online programme enquiry","P1","Improve","Medium","No BreadcrumbList found in live raw HTML. Meta description is 227 characters; shorten without losing decision value.","Existing inventory","Other landing page","Online recovery","Live","","Partial / present","Partial - breadcrumb missing live","","","","","No BreadcrumbList found in live raw HTML. Meta description is 227 characters; shorten without losing decision value.","Online Addiction Recovery Programme UK | Insight Recovery Network","Structured online addiction recovery support for individuals in the UK. Group sessions, one-to-one therapy, relapse prevention planning, and Insight OS digital recovery tools. Professional support without residential treatment.","https://www.insightrecoverynetwork.com/online-addiction-recovery-programme-uk","index, follow","Structured online addiction recovery support, built around your life.","ProfessionalService, PostalAddress, ContactPoint, WebSite, Country, Person","","","","",""
"Alternatives to Private Rehab in the UK","/private-rehab-alternative-uk","alternatives to private rehab in the uk","private addiction support; assessment; next steps","Transactional","Decision","Online recovery","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Current navigation/cluster links; add reciprocal links as new cluster pages publish","Qualified enquiry","P3","Existing","Low","No BreadcrumbList found in live raw HTML.","Existing inventory","Commercial landing page","Online recovery","Live","","Partial / present","Partial - breadcrumb missing live","","","","","No BreadcrumbList found in live raw HTML.","Alternatives to Private Rehab UK | Online, NHS & Overseas Options","Compare private rehab alternatives in the UK, including structured online recovery, outpatient, NHS and family support, plus when residential care is safer.","https://www.insightrecoverynetwork.com/private-rehab-alternative-uk","index, follow","Alternatives to Private Rehab in the UK","ProfessionalService, PostalAddress, ContactPoint, WebSite, Country, Person","","","","",""
"Private Rehab UK: Assessment-Led Guidance Before You Choose","/private-rehab-uk","private rehab UK","residential rehab UK; private addiction treatment; detox","Commercial investigation","Decision","Residential rehab","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Current navigation/cluster links; add reciprocal links as new cluster pages publish","Treatment placement enquiry","P1","Improve","Medium","No BreadcrumbList found in live raw HTML. Title is 95 characters; review SERP truncation and keyword focus. Meta description is 221 characters; shorten without losing decision value.","Existing inventory","Commercial landing page","Assessment","Live","","Partial / present","Partial - breadcrumb missing live","","","","","No BreadcrumbList found in live raw HTML. Title is 95 characters; review SERP truncation and keyword focus. Meta description is 221 characters; shorten without losing decision value.","Private Rehab UK | Assessment-Led Guidance Before Choosing Treatment | Insight Recovery Network","Considering private rehab in the UK? Insight Recovery Network helps individuals and families compare UK rehab, overseas treatment, detox needs, online recovery support and aftercare before committing to a treatment route.","https://www.insightrecoverynetwork.com/private-rehab-uk","index, follow","Private Rehab UK: Assessment-Led Guidance Before You Choose","ProfessionalService, PostalAddress, ContactPoint, WebSite, Country, Person","","","","",""
"How Much Does Rehab Cost in the UK?","/how-much-does-rehab-cost-uk","rehab cost UK","private rehab cost UK; 28-day rehab cost; detox fees","Commercial investigation","Decision","Cost","/private-rehab-uk; /online-programme; /resources/detox-vs-rehab; destination pages; /treatment-placement","Treatment pages; detox comparison; destination pages; treatment hub","Treatment placement enquiry","P1","Improve","Medium","Batch 2 adds visible breadcrumb, price-methodology caveats, reviewed clinical sources, detox decision links and complete page schema. Displayed ranges are illustrative, not live quotes or a statistical market average.","Existing inventory","Commercial landing page","Cost","Branch-ready","2026-08-28","Yes","Yes","","","","","Deploy, then monitor broad cost queries and qualified treatment enquiries without creating a competing cost route.","Rehab Costs UK: Private Rehab Prices Explained","Compare UK private rehab costs, typical 28-day prices, detox fees, what affects the final price and lower-cost or overseas treatment alternatives.","https://www.insightrecoverynetwork.com/how-much-does-rehab-cost-uk","index, follow","How Much Does Rehab Cost in the UK?","ProfessionalService, WebSite, Organization, Person, WebPage, Service, BreadcrumbList, FAQPage","Implemented: rehab-costs-uk-comparison-hero.webp (1600x900 WebP; 96 KB)","Not required - price tables and methodology modules are the useful visuals","Complete - brief 8; supplied hero accepted","Implemented: literal comparison-scene ALT text","Implemented: rehab-costs-uk-comparison-og.webp (1200x630; 60 KB)"
"Free Confidential Addiction and Mental Health Assessments","/assessments","free confidential addiction and mental health assessments","confidential self-assessment; next steps","Interactive assessment","Consideration","Assessment","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Current navigation/cluster links; add reciprocal links as new cluster pages publish","Assessment completion and enquiry","P3","Existing","Low","No BreadcrumbList found in live raw HTML. Title is 69 characters; review SERP truncation and keyword focus. Meta description is 200 characters; shorten without losing decision value.","Existing inventory","Assessment hub","Assessment","Live","","Partial / present","Partial - breadcrumb missing live","","","","","No BreadcrumbList found in live raw HTML. Title is 69 characters; review SERP truncation and keyword focus. Meta description is 200 characters; shorten without losing decision value.","Free Addiction & Mental Health Assessments | Insight Recovery Network","Confidential self-assessments for alcohol use, drug use, detox suitability, anxiety, depression, and ADHD. Start a free clinical assessment and receive personalised guidance, no registration required.","https://www.insightrecoverynetwork.com/assessments","index, follow","Free Confidential Addiction and Mental Health Assessments","ProfessionalService, PostalAddress, ContactPoint, WebSite, Country, Person","","","","",""
"Alcohol & Detox Suitability Assessment, free and confidential.","/assessments/alcohol-detox","alcohol & detox suitability assessment, free and confidential.","confidential self-assessment; next steps","Interactive assessment","Consideration","Assessment","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Current navigation/cluster links; add reciprocal links as new cluster pages publish","Assessment completion and enquiry","P3","Existing","Low","No BreadcrumbList found in live raw HTML. Meta description is 181 characters; shorten without losing decision value.","Existing inventory","Assessment","Alcohol","Live","","Partial / present","Partial - breadcrumb missing live","","","","","No BreadcrumbList found in live raw HTML. Meta description is 181 characters; shorten without losing decision value.","Alcohol & Detox Suitability Assessment | Insight Recovery Network","Free confidential assessment to understand whether alcohol use may carry withdrawal risk and whether medical detox may be appropriate. Takes 10–15 minutes. No registration required.","https://www.insightrecoverynetwork.com/assessments/alcohol-detox","index, follow","Alcohol & Detox Suitability Assessment, free and confidential.","ProfessionalService, PostalAddress, ContactPoint, WebSite, Country, Person","","","","",""
"Alcohol Use Assessment, understand your relationship with alcohol.","/assessments/alcohol-use","alcohol use assessment, understand your relationship with alcohol.","confidential self-assessment; next steps","Interactive assessment","Consideration","Assessment","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Current navigation/cluster links; add reciprocal links as new cluster pages publish","Assessment completion and enquiry","P3","Existing","Low","No BreadcrumbList found in live raw HTML. Meta description is 198 characters; shorten without losing decision value.","Existing inventory","Assessment","Alcohol","Live","","Partial / present","Partial - breadcrumb missing live","","","","","No BreadcrumbList found in live raw HTML. Meta description is 198 characters; shorten without losing decision value.","Alcohol Use Self-Assessment | Insight Recovery Network","Free confidential alcohol use self-assessment. Reflect on how drinking may be affecting your health, relationships, and daily life, personalised results sent to your email. No registration required.","https://www.insightrecoverynetwork.com/assessments/alcohol-use","index, follow","Alcohol Use Assessment, understand your relationship with alcohol.","ProfessionalService, PostalAddress, ContactPoint, WebSite, Country, Person","","","","",""
"Drug Use & Substance Assessment, free and confidential.","/assessments/drug-use","drug use & substance assessment, free and confidential.","confidential self-assessment; next steps","Interactive assessment","Consideration","Assessment","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Current navigation/cluster links; add reciprocal links as new cluster pages publish","Assessment completion and enquiry","P3","Existing","Low","No BreadcrumbList found in live raw HTML. Meta description is 197 characters; shorten without losing decision value.","Existing inventory","Assessment","Assessment","Live","","Partial / present","Partial - breadcrumb missing live","","","","","No BreadcrumbList found in live raw HTML. Meta description is 197 characters; shorten without losing decision value.","Drug Use & Substance Self-Assessment | Insight Recovery Network","Free confidential drug use and substance assessment. Explore your relationship with substances and understand whether professional support or treatment may be appropriate. No registration required.","https://www.insightrecoverynetwork.com/assessments/drug-use","index, follow","Drug Use & Substance Assessment, free and confidential.","ProfessionalService, PostalAddress, ContactPoint, WebSite, Country, Person","","","","",""
"Detox Suitability Assessment, understand what level of support you may need.","/assessments/detox","detox suitability assessment, understand what level of support you may need.","confidential self-assessment; next steps","Interactive assessment","Consideration","Assessment","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Current navigation/cluster links; add reciprocal links as new cluster pages publish","Assessment completion and enquiry","P3","Existing","Low","No BreadcrumbList found in live raw HTML. Meta description is 198 characters; shorten without losing decision value.","Existing inventory","Assessment","Detox","Live","","Partial / present","Partial - breadcrumb missing live","","","","","No BreadcrumbList found in live raw HTML. Meta description is 198 characters; shorten without losing decision value.","Detox Suitability Assessment | Insight Recovery Network","Free confidential detox suitability assessment. Understand whether medical detox is advisable, what level of supervision may be needed, and how to approach stopping safely. No registration required.","https://www.insightrecoverynetwork.com/assessments/detox","index, follow","Detox Suitability Assessment, understand what level of support you may need.","ProfessionalService, PostalAddress, ContactPoint, WebSite, Country, Person","","","","",""
"Anxiety Screening Assessment, free and confidential.","/assessments/anxiety","anxiety screening assessment, free and confidential.","confidential self-assessment; next steps","Interactive assessment","Consideration","Assessment","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Current navigation/cluster links; add reciprocal links as new cluster pages publish","Assessment completion and enquiry","P3","Existing","Low","No BreadcrumbList found in live raw HTML. Title is 77 characters; review SERP truncation and keyword focus. Meta description is 191 characters; shorten without losing decision value.","Existing inventory","Assessment","Assessment","Live","","Partial / present","Partial - breadcrumb missing live","","","","","No BreadcrumbList found in live raw HTML. Title is 77 characters; review SERP truncation and keyword focus. Meta description is 191 characters; shorten without losing decision value.","Anxiety Screening Assessment | Free & Confidential | Insight Recovery Network","Free confidential anxiety self-assessment based on GAD-7 criteria. Understand how anxiety may be affecting your thoughts, physical symptoms, and daily functioning, results sent to your email.","https://www.insightrecoverynetwork.com/assessments/anxiety","index, follow","Anxiety Screening Assessment, free and confidential.","ProfessionalService, PostalAddress, ContactPoint, WebSite, Country, Person","","","","",""
"Depression Screening Assessment, free and confidential.","/assessments/depression","depression screening assessment, free and confidential.","confidential self-assessment; next steps","Interactive assessment","Consideration","Assessment","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Current navigation/cluster links; add reciprocal links as new cluster pages publish","Assessment completion and enquiry","P3","Existing","Low","No BreadcrumbList found in live raw HTML. Title is 80 characters; review SERP truncation and keyword focus. Meta description is 191 characters; shorten without losing decision value.","Existing inventory","Assessment","Assessment","Live","","Partial / present","Partial - breadcrumb missing live","","","","","No BreadcrumbList found in live raw HTML. Title is 80 characters; review SERP truncation and keyword focus. Meta description is 191 characters; shorten without losing decision value.","Depression Screening Assessment | Free & Confidential | Insight Recovery Network","Free confidential depression self-assessment based on PHQ-9 criteria. Understand how low mood may be affecting your energy, motivation, and wellbeing, personalised results sent to your email.","https://www.insightrecoverynetwork.com/assessments/depression","index, follow","Depression Screening Assessment, free and confidential.","ProfessionalService, PostalAddress, ContactPoint, WebSite, Country, Person","","","","",""
"ADHD & Impulsivity Assessment, free and confidential.","/assessments/adhd-impulsivity","adhd & impulsivity assessment, free and confidential.","confidential self-assessment; next steps","Interactive assessment","Consideration","Assessment","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Current navigation/cluster links; add reciprocal links as new cluster pages publish","Assessment completion and enquiry","P3","Existing","Low","No BreadcrumbList found in live raw HTML. Meta description is 204 characters; shorten without losing decision value.","Existing inventory","Assessment","Assessment","Live","","Partial / present","Partial - breadcrumb missing live","","","","","No BreadcrumbList found in live raw HTML. Meta description is 204 characters; shorten without losing decision value.","ADHD & Impulsivity Self-Assessment | Insight Recovery Network","Free confidential ADHD and impulsivity self-assessment. Explore patterns of attention, focus, and impulsive behaviour that may be affecting your work, relationships, or recovery. No registration required.","https://www.insightrecoverynetwork.com/assessments/adhd-impulsivity","index, follow","ADHD & Impulsivity Assessment, free and confidential.","ProfessionalService, PostalAddress, ContactPoint, WebSite, Country, Person","","","","",""
"Addiction and Mental Health Recovery Resources","/resources","addiction and mental health recovery resources","addiction recovery; support; next steps","Navigational","Consideration","General recovery","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Current navigation/cluster links; add reciprocal links as new cluster pages publish","Assisted conversion","P1","Improve","Medium","No BreadcrumbList found in live raw HTML. Title is 77 characters; review SERP truncation and keyword focus. Meta description is 204 characters; shorten without losing decision value.","Existing inventory","Resource hub","General recovery","Live","","Partial / present","Partial - breadcrumb missing live","","","","","No BreadcrumbList found in live raw HTML. Title is 77 characters; review SERP truncation and keyword focus. Meta description is 204 characters; shorten without losing decision value.","Addiction & Recovery Resources | Clinical Articles | Insight Recovery Network","Authoritative articles on addiction, recovery, treatment options, and mental health, written by Craig Bilton to help individuals and families make informed decisions about addiction support and treatment.","https://www.insightrecoverynetwork.com/resources","index, follow","Addiction and Mental Health Recovery Resources","ProfessionalService, PostalAddress, ContactPoint, WebSite, Country, Person","","","","",""
"Privacy Policy","/privacy-policy","privacy policy","trust; credentials; governance","Navigational","Trust","Trust","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Current navigation/cluster links; add reciprocal links as new cluster pages publish","Trust and assisted conversion","P3","Existing","Low","No BreadcrumbList found in live raw HTML.","Existing inventory","Policy / trust","Trust","Live","","Partial / present","Partial - breadcrumb missing live","","","","","No BreadcrumbList found in live raw HTML.","Privacy Policy | Insight Recovery Network","How Insight Recovery Network collects, uses and protects your personal data under UK GDPR. All enquiries are handled with complete discretion.","https://www.insightrecoverynetwork.com/privacy-policy","index, follow","Privacy Policy","ProfessionalService, PostalAddress, ContactPoint, WebSite, Country, Person","","","","",""
"Terms of Service","/terms-of-service","terms of service","trust; credentials; governance","Navigational","Trust","Trust","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Current navigation/cluster links; add reciprocal links as new cluster pages publish","Trust and assisted conversion","P3","Existing","Low","No BreadcrumbList found in live raw HTML. Meta description is 172 characters; shorten without losing decision value.","Existing inventory","Policy / trust","General recovery","Live","","Partial / present","Partial - breadcrumb missing live","","","","","No BreadcrumbList found in live raw HTML. Meta description is 172 characters; shorten without losing decision value.","Terms of Service | Insight Recovery Network","Terms governing use of the Insight Recovery Network website and services. We provide private online support and guidance, not regulated medical treatment or emergency care.","https://www.insightrecoverynetwork.com/terms-of-service","index, follow","Terms of Service","ProfessionalService, PostalAddress, ContactPoint, WebSite, Country, Person","","","","",""
"Cookie Policy","/cookie-policy","cookie policy","trust; credentials; governance","Navigational","Trust","Trust","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Current navigation/cluster links; add reciprocal links as new cluster pages publish","Trust and assisted conversion","P3","Existing","Low","No BreadcrumbList found in live raw HTML. Meta description is 169 characters; shorten without losing decision value.","Existing inventory","Policy / trust","Trust","Live","","Partial / present","Partial - breadcrumb missing live","","","","","No BreadcrumbList found in live raw HTML. Meta description is 169 characters; shorten without losing decision value.","Cookie Policy | Insight Recovery Network","Insight Recovery Network uses only essential session cookies. We do not use tracking, advertising or analytics cookies. Learn what cookies we set and how to manage them.","https://www.insightrecoverynetwork.com/cookie-policy","index, follow","Cookie Policy","ProfessionalService, PostalAddress, ContactPoint, WebSite, Country, Person","","","","",""
"Editorial Policy","/editorial-policy","editorial policy","trust; credentials; governance","Navigational","Trust","Trust","Relevant authority pillar; relevant treatment/cost/decision page; suitable assessment or enquiry route","Resource hub or parent hub plus at least two contextual cluster pages","Trust and assisted conversion","P3","Existing","Low","No incoming link found in production raw HTML crawl; current remote source needs a complete prerendered resource directory or explicit contextual link. No BreadcrumbList found in live raw HTML.","Existing inventory","Policy / trust","Trust","Live","","No - raw HTML orphan","Partial - breadcrumb missing live","","","","","No incoming link found in production raw HTML crawl; current remote source needs a complete prerendered resource directory or explicit contextual link. No BreadcrumbList found in live raw HTML.","Editorial Policy | Insight Recovery Network","How Insight Recovery Network researches, writes, sources, reviews and updates addiction and mental health information.","https://www.insightrecoverynetwork.com/editorial-policy","index, follow","Editorial Policy","ProfessionalService, PostalAddress, ContactPoint, WebSite, Country, Person","","","","",""
